{'session_id': 'fbf23aa1cb1040cc9ee8c33ea5e0a86b'}
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=0 | lang= text='' full='' | finalized=[]
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。' | finalized=[]
[vad] is_start=False is_end=False is_speech=False silence_ms=500.0 seg=0 | lang=Chinese text='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。' | finalized=[]
[vad] is_start=False is_end=True is_speech=False silence_ms=0.0 seg=0 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=1 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=1 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=1 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=1 | lang=Chinese text='我喜欢。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=1 | lang=Chinese text='我喜欢喝咖啡。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=1 | lang=Chinese text='我喜欢喝咖啡，尤其' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=1 | lang=Chinese text='我喜欢喝咖啡，尤其是在早。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=1 | lang=Chinese text='我喜欢喝咖啡，尤其是在早上的时候。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=False is_speech=False silence_ms=500.0 seg=1 | lang=Chinese text='我喜欢喝咖啡，尤其是在早上的时候。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。']
[vad] is_start=False is_end=True is_speech=False silence_ms=0.0 seg=1 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=2 | lang=Chinese text='来一。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=2 | lang=Chinese text='来一杯拿铁。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=2 | lang=Chinese text='来一杯拿铁配。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁配。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=2 | lang=Chinese text='来一杯拿铁，配上一些小。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=2 | lang=Chinese text='来一杯拿铁，配上一些小点心。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=False is_end=False is_speech=False silence_ms=500.0 seg=2 | lang=Chinese text='来一杯拿铁，配上一些小点心，很。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=2 | lang=Chinese text='来一杯拿铁，配上一些小点心，很惬意。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=False is_end=False is_speech=False silence_ms=500.0 seg=2 | lang=Chinese text='来一杯拿铁，配上一些小点心，很惬意。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。']
[vad] is_start=False is_end=True is_speech=False silence_ms=0.0 seg=2 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=3 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=3 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=3 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=3 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=3 | lang=Chinese text='我想。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=3 | lang=Chinese text='我想买一本关于' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=3 | lang=Chinese text='我想买一本关于。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=3 | lang=Chinese text='我想买一本关于 machine。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=3 | lang=Chinese text='我想买一本关于 machine learning 的书。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=3 | lang=Chinese text='我想买一本关于 machine learning 的书。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=3 | lang=Chinese text='我想买一本关于 machine learning 的书，有。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=3 | lang=Chinese text='我想买一本关于 machine learning 的书，有推荐的吗？' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=False is_speech=False silence_ms=500.0 seg=3 | lang=Chinese text='我想买一本关于 machine learning 的书，有推荐的吗？' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。']
[vad] is_start=False is_end=True is_speech=False silence_ms=0.0 seg=3 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？']
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=4 | lang=Chinese text='最好是入门。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=4 | lang=Chinese text='最好是入门级别的。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别的。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=4 | lang=Chinese text='最好是入门级别。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=4 | lang=Chinese text='最好是入门级别，通俗易懂。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？']
[vad] is_start=False is_end=False is_speech=False silence_ms=500.0 seg=4 | lang=Chinese text='最好是入门级别，通俗易懂的。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？']
[vad] is_start=False is_end=True is_speech=False silence_ms=0.0 seg=4 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=5 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=5 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=5 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=5 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=False is_end=False is_speech=False silence_ms=0.0 seg=5 | lang=Chinese text='' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=True is_end=False is_speech=True silence_ms=0.0 seg=5 | lang=Chinese text='今天。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。今天。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=5 | lang=Chinese text='今天的会议取消。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。今天的会议取消。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=5 | lang=Chinese text='今天的会议取消了。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。今天的会议取消了。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
[vad] is_start=False is_end=False is_speech=True silence_ms=0.0 seg=5 | lang=Chinese text='今天的会议取消了，大家可以。' full='今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。我喜欢喝咖啡，尤其是在早上的时候，来一杯拿铁，配上一些小点心，很惬意。我想买一本关于 machine learning 的书，有推荐的吗？最好是入门级别，通俗易懂的。今天的会议取消了，大家可以。' | finalized=['今天天气真好，阳光洒在窗户上。我坐在电脑前写 code，感觉心情很愉快。', '我喜欢喝咖啡，尤其是在早上的时候。', '来一杯拿铁，配上一些小点心，很惬意。', '我想买一本关于 machine learning 的书，有推荐的吗？', '最好是入门级别，通俗易懂的。']
